 * [懂与陪伴-囍] , [3分钟前?来自三星android智能手机]:#马航飞机失联#    我爸每天下班回来都问我和我弟 飞机找到了吗    ，   真是每个人都在牵挂这，可是越是牵挂越不出现[衰]
 * [Angella黄谦晴] , [4分钟前?来自索尼Xperia Z L36h]:马来西亚这次衰死了，烟霾、制水、再加上马航事件，衰到家了！身为国民的我们啊啊啊啊！～
 * [悦靓老豆你真逗] , [4分钟前?来自Weico.Android]:如果马航机长是恐怖分子，他现在必须是躲在某个没有电视没有网络，过钻木取火的生活，打猎采浆果，每天起床一睁眼就为如何解决这两百多号人的生存用餐问题而绞尽脑汁！否则，他只需要看ccav，就可以了解政府的动向职能！就可以决定他下一步计划的改变！
 * [Automann_凹凸曼波澜不惊] , [4分钟前?来自三星GALAXY S4]:翻出去年起飛前拍的照片，才坐過的馬航9M-MRO，和失蹤MH370執飛的同一架777-2H6，還沒找到，真邪乎 [生病]
 * [解fermer] , [4分钟前?来自微话题]:#东方卫视笑傲江湖#  支持东方卫视，wei了马航事件直播，把笑傲江湖延后一周啦 详情:东方卫视笑傲江湖
 * [EcstasySs] , [4分钟前?来自Android客户端]:今年最困难的国际私法问题:一个伊朗人用意大利护照在泰国通过中国南航网站买了马航往北京的票准备偷渡去德国最后消失在越南上空！应该适用哪国法？  @funifly 我在:[位置]晴川街
 * [Vs小麻花] , [4分钟前?来自小米手机1S]:马航。mh370到底去哪了？劫机？穿越？或者是最后联系前的那些飞行姿势被火星人发现啦？需不需要马航重新派一架波音重飞那条路？最新消息请关注cctv
 * [尹万鹏丶] , [4分钟前?来自新浪微博]:马航事件变得越来越扑朔迷离，一说坠机一说劫持，我更相信是后者，希望飞机上的所有人都平安。
 * [钱钱钱小米] , [4分钟前?来自iPhone客户端]:Чудеса происходят с людьми, которые в них верят 奇迹会发生在相信奇迹的人的身上。God bless everyone ! 为马航失联的每个乘客祈祷，只希望他们还能平安归来。[心][心][心][祈祷][祈祷][祈祷][祈祷]
 * [有眼没有泪] , [4分钟前?来自Android客户端]:马航事件，可能是飞机故障，或机组人员操作不当导致的意外事故。所以找到失事客机，马航就会被判负全责。故马航就想阻止各国找到失事客机。找不到客机，就不能排除恐怖袭击等非失职的意外。就不必负全责。所以就算知道坠落方位，也不会想让它重见天日。马航是马来西亚的国企，所以政府也会帮其隐瞒真相
 * [北纬-47度] , [4分钟前?来自中国移动三星galaxyS3]:当看到灰机灰过天空，总无法遏制把它拍下来的冲动。这一刻没想马航
 * [北纬-47度] , [4分钟前?来自中国移动三星galaxyS3]:当看到灰机灰过天空，总无法遏制把它拍下来的冲动。这一刻没想马航
 * [从你的全世界爬过] , [4分钟前?来自Android客户端]:#马航飞机失联# 美国狗 马航飞机失联 我在:[位置]南苑街
 * [依蒙Nicolle-妮可] , [5分钟前?来自iPhone客户端]:马来西亚飞机失踪后，各国都在积极寻找飞机的下落，可有些人还在打牌，唱歌，聚会，聊天，都不知道献点爱心帮忙找找，真让人痛心！反正我在我家附近都找过了，没有看见马航飞机，我尽力了，也算对的起国家了！[月亮] 洗洗睡了，晚安[睡觉]
 * [龙虎门_01] , [5分钟前?来自新浪博客]:评论 @马鼎盛 的博文 【台湾增派战舰军机搜寻马航，远洋反潜模式】： "台湾本来就有人想放弃太平岛，但绝对不会送给大陆而宁愿送给越南和菲律宾，最大可能就是送给美军。" 查看原文： http://t.cn/8s29az2
 * [王琪琪tongxue] , [5分钟前?来自Android客户端]:手机只是关机了一天，亲人朋友都担心到爆了，[爱你][爱你]马航都失联9天了，可想而知他们的家人朋友是怎样度过的，希望平安！
 * [蝈蝈1968] , [5分钟前?来自新浪微博]:【马航事件】马航事件后，我询问了做飞行员的同学。他说：5个通信系统飞行员最多关4个。我想，如果是个优秀的记者，肯定也会找个飞行员问问，然后会追问哪一个没法手动关闭，然后再找发动机公司。可惜的是：这样的记者是外国的不是中国的。
 * [小可爱卫亚] , [5分钟前?来自新浪微博]:越南国家搜索和救援委员会宣布，明天清晨，越南将停止在越南海域对马航客机的搜寻行动。如果马方有需要，越南会派遣搜救力量参与其他区域的搜救。
 * [红慧_spring] , [5分钟前?来自新浪博客]:大锅饭体制的结果。  分享自徐静波博客  《中国媒体在马航客机新闻战中为何失败》 -   马航客机失联进入第9天，依然不知其何在？   参加搜救的国家超过10个，最终也变相地演变成一场反潜与卫星战的大演习...  (来自 @头条博客) - http://t.cn/8sLaJ8b 
 * [蓝柠起司Tin-Tim] , [5分钟前?来自微话题]:#马航飞机失联#  每天每隔一段时间我都会刷新闻，看看客机是否找到，每次都是失望的结果，真是不知道该怎么说才好，我既不能谩骂搜救人员的无能，又不能为大家出一份力，每天就是祈祷，很无奈的祈祷！[蜡烛] 详情:马航飞机失联
